"Charlotte Douglas International Airport","Charlotte","CLT","Baltimore/Washington International Thurgood Marshall Airport","Baltimore","BWI","580708.5512183094"
"Charlotte Douglas International Airport","Charlotte","CLT","Ronald Reagan Washington National Airport","Washington","DCA","532637.2236022925"
"Charlotte Douglas International Airport","Charlotte","CLT","Denver International Airport","Denver","DEN","2148207.1950538484"
"Charlotte Douglas International Airport","Charlotte","CLT","Dallas Fort Worth International Airport","Dallas-Fort Worth","DFW","1503206.9359914076"
"Charlotte Douglas International Airport","Charlotte","CLT","Detroit Metropolitan Wayne County Airport","Detroit","DTW","805696.1463255418"
"Charlotte Douglas International Airport","Charlotte","CLT","Newark Liberty International Airport","Newark","EWR","850286.7083188156"
"Charlotte Douglas International Airport","Charlotte","CLT","Fort Lauderdale Hollywood International Airport","Fort Lauderdale","FLL","1019274.0820122289"
"Charlotte Douglas International Airport","Charlotte","CLT","Washington Dulles International Airport","Washington","IAD","517371.2485231021"
"Charlotte Douglas International Airport","Charlotte","CLT","George Bush Intercontinental Houston Airport","Houston","IAH","1466896.8493582308"
"Charlotte Douglas International Airport","Charlotte","CLT","John F Kennedy International Airport","New York","JFK","870529.52109041"
"Charlotte Douglas International Airport","Charlotte","CLT","McCarran International Airport","Las Vegas","LAS","3076588.0318986014"
"Charlotte Douglas International Airport","Charlotte","CLT","Los Angeles International Airport","Los Angeles","LAX","3412534.245403239"
"Charlotte Douglas International Airport","Charlotte","CLT","La Guardia Airport","New York","LGA","874928.1482100738"
"Charlotte Douglas International Airport","Charlotte","CLT","Orlando International Airport","Orlando","MCO","755203.1963569185"
"Charlotte Douglas International Airport","Charlotte","CLT","Chicago Midway International Airport","Chicago","MDW","940148.3716870034"
"Charlotte Douglas International Airport","Charlotte","CLT","Miami International Airport","Miami","MIA","1049400.546014656"
"Charlotte Douglas International Airport","Charlotte","CLT","Minneapolis-St Paul International/Wold-Chamberlain Airport","Minneapolis","MSP","1496073.2017815565"
"Charlotte Douglas International Airport","Charlotte","CLT","Chicago O'Hare International Airport","Chicago","ORD","964578.6592197979"
"Charlotte Douglas International Airport","Charlotte","CLT","Philadelphia International Airport","Philadelphia","PHL","721473.5734799483"
"Charlotte Douglas International Airport","Charlotte","CLT","Phoenix Sky Harbor International Airport","Phoenix","PHX","2848382.746865867"
"Charlotte Douglas International Airport","Charlotte","CLT","San Diego International Airport","San Diego","SAN","3335376.2087519756"
"Charlotte Douglas International Airport","Charlotte","CLT","Seattle Tacoma International Airport","Seattle","SEA","3660405.654893685"
"Charlotte Douglas International Airport","Charlotte","CLT","San Francisco International Airport","San Francisco","SFO","3686971.0607039263"
